,iso3c,country,region,year,gdp_percap,life_expect,population,birth_rate,neonat_mortal_rate,income
3746,SMR,San Marino,Europe & Central Asia,2011,4.005949145329041,0.9331515607673205,-0.3174866081118313,-0.5759045589280027,-0.6412556053811659,0.9466532965655553
3747,SMR,San Marino,Europe & Central Asia,2012,4.31288919841342,0.8848090849983115,-0.31747370093237826,-0.5906028759707014,-0.6412556053811659,0.9466532965655553
3748,SMR,San Marino,Europe & Central Asia,2013,3.4235626002280335,0.8433944296032457,-0.3174616211362234,-0.6053011930134,-0.6457399103139013,0.9466532965655553
3749,SMR,San Marino,Europe & Central Asia,2014,3.4235626002280335,0.8433944296032457,-0.31745036872336685,-0.6199995100560987,-0.6457399103139013,0.9466532965655553
3750,STP,Sao Tome and Principe,Sub-Saharan Africa,1990,-0.3218380669161961,-0.6280415624249157,-0.3129284432038598,0.8732025183116533,0.5964125560538116,-0.197743795437453
3751,STP,Sao Tome and Principe,Sub-Saharan Africa,1991,-0.32092364785507277,-0.6162269078008156,-0.31280019879262716,0.8690869895396979,0.5874439461883407,-0.197743795437453
3752,STP,Sao Tome and Principe,Sub-Saharan Africa,1992,-0.3546260604811827,-0.6045960013569118,-0.3126652801561217,0.866294309301585,0.57847533632287,-0.197743795437453
3753,STP,Sao Tome and Principe,Sub-Saharan Africa,1993,-0.3546260604811827,-0.5930021979109272,-0.3125272174630829,0.8646774944268881,0.5650224215246636,-0.197743795437453
3754,STP,Sao Tome and Principe,Sub-Saharan Africa,1994,-0.34676935424657135,-0.5814437306534362,-0.3123910301721867,0.8638935841846109,0.547085201793722,-0.197743795437453
3755,STP,Sao Tome and Principe,Sub-Saharan Africa,1995,-0.3467693542465714,-0.5701750201416312,-0.3122599726577399,0.8635996178437569,0.5291479820627802,-0.197743795437453
3756,STP,Sao Tome and Principe,Sub-Saharan Africa,1996,-0.33741246471906816,-0.5594504869326813,-0.31213575484522554,0.8630606795521912,0.5022421524663677,-0.197743795437453
3757,STP,Sao Tome and Principe,Sub-Saharan Africa,1997,-0.32745725821099275,-0.5491941582213183,-0.3120163910147277,0.8616398422380638,0.48430493273542596,-0.197743795437453
3758,STP,Sao Tome and Principe,Sub-Saharan Africa,1998,-0.32819413696161137,-0.5392293530650661,-0.3118964755953643,0.858700178829524,0.4663677130044843,-0.197743795437453
3759,STP,Sao Tome and Principe,Sub-Saharan Africa,1999,-0.3161607900382263,-0.5291196695359669,-0.31176861729633754,0.8536537566448641,0.4484304932735427,-0.197743795437453
3760,STP,Sao Tome and Principe,Sub-Saharan Africa,2000,-0.3161607900382263,-0.5178544926430036,-0.3116273002289921,0.8461086205629457,0.42152466367713004,-0.197743795437453
3761,STP,Sao Tome and Principe,Sub-Saharan Africa,2001,-0.3262806802980773,-0.504421440585734,-0.3114707041500719,0.8356728154626296,0.3946188340807174,-0.197743795437453
3762,STP,Sao Tome and Principe,Sub-Saharan Africa,2002,-0.3243292050073009,-0.48820389687486804,-0.3113007044617196,0.8226403076847703,0.367713004484305,-0.197743795437453
3763,STP,Sao Tome and Principe,Sub-Saharan Africa,2003,-0.3170509775520449,-0.46913295594284254,-0.3111202245849225,0.807403052350506,0.34080717488789236,-0.197743795437453
3764,STP,Sao Tome and Principe,Sub-Saharan Africa,2004,-0.3117668947051283,-0.4476785890966698,-0.31093406334281054,0.7903530045809757,0.3183856502242152,-0.197743795437453
3765,STP,Sao Tome and Principe,Sub-Saharan Africa,2005,-0.3013761926285799,-0.42481607513887243,-0.3107457509041231,0.7722250802283138,0.29147982062780275,-0.197743795437453
3766,STP,Sao Tome and Principe,Sub-Saharan Africa,2006,-0.28747206948886445,-0.4019570947999246,-0.31055611465215843,0.7539011783150831,0.2645739910313901,-0.197743795437453
3767,STP,Sao Tome and Principe,Sub-Saharan Africa,2007,-0.28181708015352064,-0.38054866499879986,-0.3103641617269585,0.735871242742706,0.242152466367713,-0.197743795437453
3768,STP,Sao Tome and Principe,Sub-Saharan Africa,2008,-0.26924249893839036,-0.36153072834951566,-0.31016939569854457,0.7185272286323217,0.21973094170403587,-0.197743795437453
